ascii;emoji
:);:)
:-);:)
0;:)
:');:)
:));:)
(:;:)
c:;:)
(:;(:
(-:;(:
c:;(:
(:);(:
:);(:
:D;:D
:-D;:D
nan;:D
xD;:D
XD;:D
:DD;:D
XD;XD
xD;XD
Xd;XD
xd;XD
<3;<3
<33;<3
<333;<3
</3;<3
</33;<3
";)";";)"
";-)";";)"
";D";";)"
";]";";)"
";P";";)"
:));:))
:)));:))
:);:))
^-^;^-^
^_^;^-^
^.^;^-^
:>;:>
:->;:>
:>);:>
(:>;:>
0;:>
:(;:(
:-(;:(
):;:(
:((;:(
:'(;:(
:'(;:'(
:'-(;:'(
:’(;:'(
:,(;:'(
:((;:((
:'((;:((
):(;:((
</3;</3
</33;</3
</333;</3
<\3;</3
D:;D:
D-:;D:
D=;D:
"D;";D:
>:[;>:[
>:<;>:[
>:/;>:[
>:(;>:(
>:‑(;>:(
D:<;>:(
T_T;T_T
T.T;T_T
TT_TT;T_T
T-T;T_T
x_x;x_x
X_X;x_x
xXx;x_x
xx_x;x_x
:-(;:-(
: (;:-(
):-(;:-(
)-:;:-(
:;:
::;:
:-;:
:';:
-_-;-_-
0;-_-
-__-;-_-
—_—;-_-
:/;:/
:-/;:/
:\;:/
0;:/
nan;:/
:-\;:/
:\;:\
:-\;:\
: /;:\
:s;:s
:-s;:s
:S;:s
:-S;:s
